,STATUS,SOC_NAME,POSITION_TYPE,WAGE,YEAR,REGION
331,CERTIFIED,Technical,Y,42786,2011, WEST
332,CERTIFIED,Technical,Y,60237,2011, MID WEST
333,DENIED,Technical,Y,35440,2011, NA
334,CERTIFIED,Technical,Y,68973,2011, NORTH EAST
335,CERTIFIED,Technical,Y,65645,2011, MID WEST
336,DENIED,Technical,Y,24835,2011, WEST
337,CERTIFIED,Technical,Y,49150,2011, NORTH EAST
338,CERTIFIED,Technical,Y,42786,2011, WEST
339,CERTIFIED,Technical,Y,73070,2011, SOUTH
340,CERTIFIED,Technical,Y,51834,2011, MID WEST
341,CERTIFIED,Technical,Y,38397,2011, MID WEST
342,CERTIFIED,Technical,Y,49150,2011, NORTH EAST
343,CERTIFIED,Technical,Y,51854,2011, SOUTH
344,CERTIFIED,Technical,Y,94120,2011, NORTH EAST
345,CERTIFIED,Technical,Y,45115,2011, MID WEST
346,CERTIFIED,Technical,Y,54766,2011, SOUTH
347,CERTIFIED,Technical,Y,49150,2011, NORTH EAST
348,CERTIFIED,Technical,Y,48734,2011, MID WEST
349,CERTIFIED,Technical,Y,37003,2011, SOUTH
350,CERTIFIED,Technical,Y,56202,2011, WEST
351,CERTIFIED,Technical,Y,49150,2011, NORTH EAST
352,CERTIFIED,Technical,Y,43098,2011, NORTH EAST
353,CERTIFIED,Technical,Y,56826,2011, NORTH EAST
354,CERTIFIED,Technical,Y,43347,2011, NORTH EAST
355,CERTIFIED,Technical,Y,69742,2011, WEST
356,CERTIFIED,Technical,Y,53789,2011, SOUTH
357,CERTIFIED,Technical,Y,56826,2011, NORTH EAST
358,CERTIFIED,Technical,Y,60674,2011, SOUTH
359,CERTIFIED,Technical,Y,59592,2011, WEST
360,CERTIFIED,Technical,Y,49150,2011, NORTH EAST
361,CERTIFIED,Technical,Y,76378,2011, NORTH EAST
362,CERTIFIED,Technical,Y,79102,2011, WEST
363,CERTIFIED,Technical,N,87048,2011, NORTH EAST
364,CERTIFIED,Technical,Y,55162,2011, WEST
365,CERTIFIED,Technical,Y,64792,2011,SOUTH
366,CERTIFIED,Technical,Y,62566,2011, MID WEST
367,CERTIFIED,Technical,Y,53082,2011, MID WEST
368,CERTIFIED,Technical,Y,63294,2011, NORTH EAST
369,CERTIFIED,Technical,Y,76027,2011, SOUTH
370,CERTIFIED,Technical,Y,47694,2011, NORTH EAST
371,CERTIFIED,Technical,N,42203.2,2011,SOUTH
372,CERTIFIED,Technical,Y,40893,2011, MID WEST
373,CERTIFIED,Technical,Y,101628.8,2011, NORTH EAST
374,CERTIFIED,Technical,Y,48963,2011, SOUTH
375,CERTIFIED,Technical,Y,49608,2011, MID WEST
376,CERTIFIED,Technical,Y,75650,2011, NORTH EAST
377,CERTIFIED,Technical,Y,36088,2011, MID WEST
378,CERTIFIED,Technical,Y,78624,2011, NORTH EAST
379,CERTIFIED,Technical,Y,66165,2011, MID WEST
380,CERTIFIED,Technical,Y,89814.4,2011, NORTH EAST
381,CERTIFIED,Technical,Y,37690,2011, NORTH EAST
382,CERTIFIED,Technical,Y,44096,2011, NORTH EAST
383,CERTIFIED,Technical,Y,106642,2011, SOUTH
384,CERTIFIED,Technical,Y,67184,2011, NORTH EAST
385,CERTIFIED,Technical,Y,56118,2011, WEST
386,CERTIFIED,Technical,Y,59530,2011, MID WEST
387,CERTIFIED,Technical,N,95908.8,2011, WEST
388,CERTIFIED,Technical,Y,78146,2011, WEST
389,CERTIFIED,Technical,Y,57636.8,2011, SOUTH
390,CERTIFIED,Technical,Y,67891,2011, MID WEST
391,CERTIFIED,Technical,Y,57179,2011, NORTH EAST
392,CERTIFIED,Technical,Y,90313.6,2011, WEST
393,DENIED,Technical,Y,41683,2011, NORTH EAST
394,CERTIFIED,Technical,Y,51418,2011, NORTH EAST
395,CERTIFIED,Technical,Y,72197,2011, WEST
396,CERTIFIED,Technical,Y,74422,2011, NORTH EAST
397,CERTIFIED,Technical,Y,95909,2011, SOUTH
